store_id,date,horizon_day,forecast_p50,forecast_p80,forecast_p95,forecast_cv,campaign,is_weekend,city,archetype,service_min,travel_min,stops_per_hour_cap,existing_permanent,existing_outsourced,shipments,workload_minutes,required_courier_hours,availability_factor,productive_hour_fraction,effective_hours_per_head,required_scheduled_courier_hours,required_headcount,existing_headcount,staffing_gap,gap_direction
DXB-01,2026-08-02,0,738.9,813.3,884.7,0.12,none,False,Dubai,urban_dense,2.6,2.0,13.0,5,4,738.9,3398.9399999999996,56.648999999999994,0.7771428571428572,0.7394999999999999,4.597577142857143,56.648999999999994,12.321489828182791,9,3.3214898281827914,understaffed
DXB-02,2026-08-02,0,643.5,708.4,770.5,0.12,none,False,Dubai,urban_dense,2.6,2.0,13.0,5,3,643.5,2960.1,49.335,0.7771428571428572,0.7394999999999999,4.597577142857143,49.335,10.730651921011813,8,2.7306519210118125,understaffed
DXB-03,2026-08-02,0,488.6,537.8,585.0,0.12,none,False,Dubai,suburban,3.0,3.4,9.0,5,2,488.6,3127.0400000000004,52.11733333333334,0.7771428571428572,0.7394999999999999,4.597577142857143,52.11733333333334,11.335825743414338,7,4.335825743414338,understaffed
DXB-04,2026-08-02,0,363.5,400.1,435.2,0.12,none,False,Dubai,industrial_b2b,4.2,4.8,6.5,5,3,363.5,3271.5,54.525,0.7771428571428572,0.7394999999999999,4.597577142857143,54.525,11.859507367855864,8,3.859507367855864,understaffed
AUH-01,2026-08-02,0,572.0,629.7,684.9,0.12,none,False,Abu Dhabi,urban_dense,2.6,2.0,13.0,3,3,572.0,2631.2,43.85333333333333,0.7771428571428572,0.7394999999999999,4.597577142857143,43.85333333333333,9.53835726312161,6,3.5383572631216094,understaffed
AUH-02,2026-08-02,0,417.1,459.1,499.4,0.12,none,False,Abu Dhabi,suburban,3.0,3.4,9.0,4,2,417.1,2669.4400000000005,44.49066666666668,0.7771428571428572,0.7394999999999999,4.597577142857143,44.49066666666668,9.676981002001884,6,3.6769810020018845,understaffed
AUH-03,2026-08-02,0,309.8,341.1,371.0,0.12,none,False,Abu Dhabi,industrial_b2b,4.2,4.8,6.5,5,2,309.8,2788.2000000000003,46.470000000000006,0.7771428571428572,0.7394999999999999,4.597577142857143,46.470000000000006,10.107497613649922,7,3.1074976136499224,understaffed
SHJ-01,2026-08-02,0,464.8,511.6,556.5,0.12,none,False,Sharjah,suburban,3.0,3.4,9.0,4,3,464.8,2974.7200000000003,49.57866666666667,0.7771428571428572,0.7394999999999999,4.597577142857143,49.57866666666667,10.783650850468652,7,3.7836508504686517,understaffed
SHJ-02,2026-08-02,0,357.5,393.5,428.1,0.12,none,False,Sharjah,mixed,3.0,3.0,10.0,2,3,357.5,2145.0,35.75,0.7771428571428572,0.7394999999999999,4.597577142857143,35.75,7.775834725370878,5,2.7758347253708777,understaffed
AAN-01,2026-08-02,0,226.4,249.2,271.1,0.12,none,False,Al Ain,mixed,3.0,3.0,10.0,2,2,226.4,1358.4,22.64,0.7771428571428572,0.7394999999999999,4.597577142857143,22.64,4.924332816290816,4,0.924332816290816,understaffed
RAK-01,2026-08-02,0,208.5,229.6,249.7,0.12,none,False,Ras Al Khaimah,mixed,3.0,3.0,10.0,2,1,208.5,1251.0,20.85,0.7771428571428572,0.7394999999999999,4.597577142857143,20.85,4.534997315356162,3,1.5349973153561622,understaffed
FUJ-01,2026-08-02,0,178.8,196.8,214.0,0.12,none,False,Fujairah,suburban,3.0,3.4,9.0,2,1,178.8,1144.3200000000002,19.072000000000003,0.7771428571428572,0.7394999999999999,4.597577142857143,19.072000000000003,4.148271884818836,3,1.1482718848188362,understaffed
DXB-01,2026-08-03,1,739.4,813.9,885.4,0.12,none,False,Dubai,urban_dense,2.6,2.0,13.0,5,4,739.4,3401.24,56.68733333333333,0.7771428571428572,0.7394999999999999,4.597577142857143,56.68733333333333,12.329827553063144,9,3.3298275530631436,understaffed
DXB-02,2026-08-03,1,644.0,708.9,771.1,0.12,none,False,Dubai,urban_dense,2.6,2.0,13.0,5,3,644.0,2962.3999999999996,49.37333333333333,0.7771428571428572,0.7394999999999999,4.597577142857143,49.37333333333333,10.738989645892161,8,2.738989645892161,understaffed
DXB-03,2026-08-03,1,489.0,538.3,585.5,0.12,none,False,Dubai,suburban,3.0,3.4,9.0,5,2,489.0,3129.6000000000004,52.160000000000004,0.7771428571428572,0.7394999999999999,4.597577142857143,52.160000000000004,11.345105993715945,7,4.345105993715945,understaffed
DXB-04,2026-08-03,1,363.7,400.4,435.5,0.12,none,False,Dubai,industrial_b2b,4.2,4.8,6.5,5,3,363.7,3273.2999999999997,54.55499999999999,0.7771428571428572,0.7394999999999999,4.597577142857143,54.55499999999999,11.86603254384918,8,3.8660325438491796,understaffed
AUH-01,2026-08-03,1,572.4,630.2,685.4,0.12,none,False,Abu Dhabi,urban_dense,2.6,2.0,13.0,3,3,572.4,2633.0399999999995,43.88399999999999,0.7771428571428572,0.7394999999999999,4.597577142857143,43.88399999999999,9.545027443025889,6,3.545027443025889,understaffed
AUH-02,2026-08-03,1,417.4,459.5,499.8,0.12,none,False,Abu Dhabi,suburban,3.0,3.4,9.0,4,2,417.4,2671.36,44.522666666666666,0.7771428571428572,0.7394999999999999,4.597577142857143,44.522666666666666,9.683941189728088,6,3.6839411897280883,understaffed
AUH-03,2026-08-03,1,310.1,341.3,371.3,0.12,none,False,Abu Dhabi,industrial_b2b,4.2,4.8,6.5,5,2,310.1,2790.9,46.515,0.7771428571428572,0.7394999999999999,4.597577142857143,46.515,10.117285377639899,7,3.1172853776398988,understaffed
SHJ-01,2026-08-03,1,465.1,512.0,556.9,0.12,none,False,Sharjah,suburban,3.0,3.4,9.0,4,3,465.1,2976.6400000000003,49.610666666666674,0.7771428571428572,0.7394999999999999,4.597577142857143,49.610666666666674,10.790611038194859,7,3.790611038194859,understaffed
SHJ-02,2026-08-03,1,357.8,393.8,428.4,0.12,none,False,Sharjah,mixed,3.0,3.0,10.0,2,3,357.8,2146.8,35.78,0.7771428571428572,0.7394999999999999,4.597577142857143,35.78,7.782359901364196,5,2.782359901364196,understaffed
AAN-01,2026-08-03,1,226.6,249.4,271.3,0.12,none,False,Al Ain,mixed,3.0,3.0,10.0,2,2,226.6,1359.6,22.66,0.7771428571428572,0.7394999999999999,4.597577142857143,22.66,4.928682933619695,4,0.9286829336196947,understaffed
RAK-01,2026-08-03,1,208.7,229.7,249.9,0.12,none,False,Ras Al Khaimah,mixed,3.0,3.0,10.0,2,1,208.7,1252.1999999999998,20.869999999999997,0.7771428571428572,0.7394999999999999,4.597577142857143,20.869999999999997,4.539347432685041,3,1.539347432685041,understaffed
FUJ-01,2026-08-03,1,178.9,196.9,214.2,0.12,none,False,Fujairah,suburban,3.0,3.4,9.0,2,1,178.9,1144.96,19.082666666666668,0.7771428571428572,0.7394999999999999,4.597577142857143,19.082666666666668,4.150591947394238,3,1.150591947394238,understaffed
