store_id,date,hour,required_courier_hours_hour,shipments_hour
DXB-01,2026-08-02,8,1.6994699999999998,22.166999999999998
DXB-01,2026-08-02,9,2.8324499999999997,36.945
DXB-01,2026-08-02,10,4.5319199999999995,59.112
DXB-01,2026-08-02,11,5.098409999999999,66.50099999999999
DXB-01,2026-08-02,12,4.5319199999999995,59.112
DXB-01,2026-08-02,13,3.3989399999999996,44.333999999999996
DXB-01,2026-08-02,14,3.96543,51.723000000000006
DXB-01,2026-08-02,15,4.5319199999999995,59.112
DXB-01,2026-08-02,16,5.098409999999999,66.50099999999999
DXB-01,2026-08-02,17,5.098409999999999,66.50099999999999
DXB-01,2026-08-02,18,5.664899999999999,73.89
DXB-01,2026-08-02,19,5.098409999999999,66.50099999999999
DXB-01,2026-08-02,20,3.3989399999999996,44.333999999999996
DXB-01,2026-08-02,21,1.6994699999999998,22.166999999999998
DXB-02,2026-08-02,8,1.4800499999999999,19.305
DXB-02,2026-08-02,9,2.46675,32.175000000000004
DXB-02,2026-08-02,10,3.9468,51.480000000000004
DXB-02,2026-08-02,11,4.44015,57.915
DXB-02,2026-08-02,12,3.9468,51.480000000000004
DXB-02,2026-08-02,13,2.9600999999999997,38.61
DXB-02,2026-08-02,14,3.4534500000000006,45.045
DXB-02,2026-08-02,15,3.9468,51.480000000000004
DXB-02,2026-08-02,16,4.44015,57.915
DXB-02,2026-08-02,17,4.44015,57.915
DXB-02,2026-08-02,18,4.9335,64.35000000000001
DXB-02,2026-08-02,19,4.44015,57.915
DXB-02,2026-08-02,20,2.9600999999999997,38.61
DXB-02,2026-08-02,21,1.4800499999999999,19.305
DXB-03,2026-08-02,8,1.5635200000000002,14.658
DXB-03,2026-08-02,9,2.6058666666666674,24.430000000000003
DXB-03,2026-08-02,10,4.169386666666667,39.088
DXB-03,2026-08-02,11,4.6905600000000005,43.974000000000004
DXB-03,2026-08-02,12,4.169386666666667,39.088
DXB-03,2026-08-02,13,3.1270400000000005,29.316
DXB-03,2026-08-02,14,3.6482133333333344,34.202000000000005
DXB-03,2026-08-02,15,4.169386666666667,39.088
DXB-03,2026-08-02,16,4.6905600000000005,43.974000000000004
DXB-03,2026-08-02,17,4.6905600000000005,43.974000000000004
DXB-03,2026-08-02,18,5.211733333333335,48.86000000000001
DXB-03,2026-08-02,19,4.6905600000000005,43.974000000000004
DXB-03,2026-08-02,20,3.1270400000000005,29.316
DXB-03,2026-08-02,21,1.5635200000000002,14.658
DXB-04,2026-08-02,8,1.6357499999999998,10.905
DXB-04,2026-08-02,9,2.7262500000000003,18.175
DXB-04,2026-08-02,10,4.362,29.080000000000002
DXB-04,2026-08-02,11,4.9072499999999994,32.714999999999996
DXB-04,2026-08-02,12,4.362,29.080000000000002
DXB-04,2026-08-02,13,3.2714999999999996,21.81
