store_id,date,archetype,forecast_p50,engine_required_headcount,existing_permanent,existing_outsourced,effective_hours_per_head,actual_shipments,true_required_headcount,trailing_avg_shipments,baseline_required_headcount,engine_error,baseline_error,engine_abs_pct_error,baseline_abs_pct_error,engine_over_hours,engine_under_hours,baseline_over_hours,baseline_under_hours,dow,is_weekend
DXB-01,2026-03-01,urban_dense,650.75,10.851548931776902,5,4,4.597577142857143,721,12.022999277466225,706.5,15.11229946524064,-1.1714503456893226,3.089300187774416,0.09743411927877939,0.2569492117964651,0.0,9.37160276551458,24.71440150219533,-0.0,6,False
DXB-02,2026-03-01,urban_dense,553.75,9.234030304988796,5,3,4.597577142857143,659,10.989121392302692,622.5357142857143,13.316271963330788,-1.7550910873138967,2.3271505710280955,0.1597116843702579,0.21176857438831673,0.0,14.040728698511174,18.617204568224764,-0.0,6,False
DXB-03,2026-03-01,suburban,449.75,10.434481432870646,5,2,4.597577142857143,527,12.226729772368717,464.2142857142857,9.929717341482048,-1.7922483394980713,-2.297012430886669,0.146584440227704,0.18786809503860186,0.0,14.33798671598457,0.0,18.376099447093353,6,False
DXB-04,2026-03-01,industrial_b2b,326.0,10.636036869108697,5,3,4.597577142857143,325,10.603410989142107,351.89285714285717,7.5271199388846455,0.03262587996658972,-3.0762910502574616,0.003076923076922947,0.2901227777936349,0.26100703973271777,-0.0,0.0,24.610328402059693,6,False
AUH-01,2026-03-01,urban_dense,524.25,8.742104537048084,3,3,4.597577142857143,560,9.338251865993184,553.4285714285714,11.838044308632544,-0.5961473289451007,2.499792442639359,0.06383928571428572,0.2676938337616245,0.0,4.769178631560806,19.998339541114873,-0.0,6,False
AUH-02,2026-03-01,suburban,346.5,8.039016823768046,4,2,4.597577142857143,468,10.857892852881518,398.42857142857144,8.52253628724217,-2.818876029113472,-2.335356565639348,0.2596153846153847,0.2150837733694876,0.0,22.551008232907776,0.0,18.682852525114782,6,False
AUH-03,2026-03-01,industrial_b2b,297.5,9.706199290060852,5,2,4.597577142857143,286,9.331001670445053,306.60714285714283,6.558441558441558,0.37519761961579867,-2.772560112003495,0.040209790209790326,0.29713424238099556,3.0015809569263894,-0.0,0.0,22.18048089602796,6,False
SHJ-01,2026-03-01,suburban,411.5,9.547057497779369,4,3,4.597577142857143,426,9.883466571212663,444.7857142857143,9.514132925897632,-0.33640907343329474,-0.3693336453150309,0.034037558685445994,0.03736883639499325,0.0,2.691272587466358,0.0,2.954669162520247,6,False
SHJ-02,2026-03-01,mixed,312.5,6.797058326373145,2,3,4.597577142857143,360,7.830211191981863,346.89285714285717,7.420168067226891,-1.0331528656087174,-0.4100431247549716,0.13194444444444436,0.05236680272108827,0.0,8.26522292486974,0.0,3.280344998039773,6,False
AAN-01,2026-03-01,mixed,203.5,4.426244382134192,2,2,4.597577142857143,241,5.24189138129897,217.25,4.647058823529412,-0.8156469991647777,-0.5948325577695579,0.15560165975103737,0.11347670420865437,0.0,6.525175993318221,0.0,4.758660462156463,6,False
